ImagePath,MaskPath
HMUH_15 201129_201123_BN004_002.jpg,HMUH_15 201129_201123_BN004_002.jpg
HMUH_15 201129_201118_BN004_003.jpg,HMUH_15 201129_201118_BN004_003.jpg
HMUH_16 201207_201127_BN001_001.jpg,HMUH_16 201207_201127_BN001_001.jpg
HMUH_16 201207_201124_BN001_001.jpg,HMUH_16 201207_201124_BN001_001.jpg
HMUH_16 201207_201126_BN007_002.jpg,HMUH_16 201207_201126_BN007_002.jpg
HMUH_15 201129_201123_BN002_001.jpg,HMUH_15 201129_201123_BN002_001.jpg
HMUH_15 201129_201112_BN001_002.jpg,HMUH_15 201129_201112_BN001_002.jpg
HMUH_15 201129_201120_BN007_002.jpg,HMUH_15 201129_201120_BN007_002.jpg
HMUH_16 201207_201127_BN002_001.jpg,HMUH_16 201207_201127_BN002_001.jpg
HMUH_15 201129_201119_BN005_002.jpg,HMUH_15 201129_201119_BN005_002.jpg
HMUH_15 201129_201111_BN002_001.jpg,HMUH_15 201129_201111_BN002_001.jpg
HMUH_16 201207_201128_BN005_003.jpg,HMUH_16 201207_201128_BN005_003.jpg
HMUH_15 201129_201119_BN005_001.jpg,HMUH_15 201129_201119_BN005_001.jpg
HMUH_15 201129_201111_BN001_006.jpg,HMUH_15 201129_201111_BN001_006.jpg
HMUH_15 201129_201111_BN001_007.jpg,HMUH_15 201129_201111_BN001_007.jpg
HMUH_15 201129_201111_BN002_003.jpg,HMUH_15 201129_201111_BN002_003.jpg
HMUH_15 201129_201111_BN002_005.jpg,HMUH_15 201129_201111_BN002_005.jpg
HMUH_15 201129_201120_BN008_001.jpg,HMUH_15 201129_201120_BN008_001.jpg
HMUH_16 201207_201128_BN005_002.jpg,HMUH_16 201207_201128_BN005_002.jpg
HMUH_15 201129_201118_BN004_004.jpg,HMUH_15 201129_201118_BN004_004.jpg
HMUH_15 201129_201111_BN001_002.jpg,HMUH_15 201129_201111_BN001_002.jpg
HMUH_15 201129_201111_BN002_002.jpg,HMUH_15 201129_201111_BN002_002.jpg
HMUH_15 201129_201113_BN001_001.jpg,HMUH_15 201129_201113_BN001_001.jpg
HMUH_15 201129_201118_BN004_001.jpg,HMUH_15 201129_201118_BN004_001.jpg
HMUH_15 201129_201116_BN001_001.jpg,HMUH_15 201129_201116_BN001_001.jpg
HMUH_15 201129_201123_BN002_002.jpg,HMUH_15 201129_201123_BN002_002.jpg
HMUH_15 201129_201111_BN002_007.jpg,HMUH_15 201129_201111_BN002_007.jpg
HMUH_15 201129_201120_BN007_004.jpg,HMUH_15 201129_201120_BN007_004.jpg
HMUH_15 201129_201120_BN007_005.jpg,HMUH_15 201129_201120_BN007_005.jpg
HMUH_16 201207_201128_BN001_001.jpg,HMUH_16 201207_201128_BN001_001.jpg
HMUH_16 201207_201126_BN007_001.jpg,HMUH_16 201207_201126_BN007_001.jpg
HMUH_16 201207_201126_BN001_003.jpg,HMUH_16 201207_201126_BN001_003.jpg
HMUH_15 201129_201117_BN003_001.jpg,HMUH_15 201129_201117_BN003_001.jpg
HMUH_16 201207_201126_BN008_001.jpg,HMUH_16 201207_201126_BN008_001.jpg
HMUH_16 201207_201128_BN007_002.jpg,HMUH_16 201207_201128_BN007_002.jpg
HMUH_15 201129_201111_BN001_004.jpg,HMUH_15 201129_201111_BN001_004.jpg
HMUH_15 201129_201119_BN005_003.jpg,HMUH_15 201129_201119_BN005_003.jpg
HMUH_15 201129_201123_BN003_002.jpg,HMUH_15 201129_201123_BN003_002.jpg
HMUH_15 201129_201123_BN004_001.jpg,HMUH_15 201129_201123_BN004_001.jpg
HMUH_15 201129_201111_BN002_006.jpg,HMUH_15 201129_201111_BN002_006.jpg
HMUH_15 201129_201120_BN007_003.jpg,HMUH_15 201129_201120_BN007_003.jpg
HMUH_15 201129_201119_BN002_001.jpg,HMUH_15 201129_201119_BN002_001.jpg
HMUH_16 201207_201128_BN005_001.jpg,HMUH_16 201207_201128_BN005_001.jpg
HMUH_16 201207_201126_BN004_001.jpg,HMUH_16 201207_201126_BN004_001.jpg
HMUH_15 201129_201123_BN002_003.jpg,HMUH_15 201129_201123_BN002_003.jpg
HMUH_15 201129_201120_BN007_001.jpg,HMUH_15 201129_201120_BN007_001.jpg
HMUH_15 201129_201114_BN001_002.jpg,HMUH_15 201129_201114_BN001_002.jpg
HMUH_16 201207_201125_BN001_001.jpg,HMUH_16 201207_201125_BN001_001.jpg
HMUH_16 201207_201120_BN001_002.jpg,HMUH_16 201207_201120_BN001_002.jpg
HMUH_15 201129_201123_BN003_001.jpg,HMUH_15 201129_201123_BN003_001.jpg
HMUH_16 201207_201127_BN006_001.jpg,HMUH_16 201207_201127_BN006_001.jpg
HMUH_15 201129_201123_BN004_003.jpg,HMUH_15 201129_201123_BN004_003.jpg
HMUH_15 201129_201119_BN005_005.jpg,HMUH_15 201129_201119_BN005_005.jpg
HMUH_16 201207_201120_BN001_001.jpg,HMUH_16 201207_201120_BN001_001.jpg
HMUH_15 201129_201119_BN004_004.jpg,HMUH_15 201129_201119_BN004_004.jpg
HMUH_15 201129_201112_BN001_001.jpg,HMUH_15 201129_201112_BN001_001.jpg
