ImagePath,MaskPath
PKHL_15 220831_201223_BN033_033.jpg,PKHL_15 220831_201223_BN033_033.jpg
PKHL_15 220831_201223_BN023_008.jpg,PKHL_15 220831_201223_BN023_008.jpg
PKHL_15 220831_201223_BN031_005.jpg,PKHL_15 220831_201223_BN031_005.jpg
PKHL_15 220831_201221_BN029_010.jpg,PKHL_15 220831_201221_BN029_010.jpg
PKHL_15 220831_201211_BN046_003.jpg,PKHL_15 220831_201211_BN046_003.jpg
PKHL_15 220831_201223_BN023_016.jpg,PKHL_15 220831_201223_BN023_016.jpg
PKHL_15 220831_201215_BN032_004.jpg,PKHL_15 220831_201215_BN032_004.jpg
PKHL_15 220831_201217_BN019_008.jpg,PKHL_15 220831_201217_BN019_008.jpg
PKHL_15 220831_201222_BN010_009.jpg,PKHL_15 220831_201222_BN010_009.jpg
PKHL_15 220831_201222_BN022_019.jpg,PKHL_15 220831_201222_BN022_019.jpg
PKHL_15 220831_201211_BN035_035.jpg,PKHL_15 220831_201211_BN035_035.jpg
PKHL_15 220831_201215_BN066_005.jpg,PKHL_15 220831_201215_BN066_005.jpg
PKHL_15 220831_201212_BN050_009.jpg,PKHL_15 220831_201212_BN050_009.jpg
PKHL_15 220831_201217_BN016_013.jpg,PKHL_15 220831_201217_BN016_013.jpg
PKHL_15 220831_201212_BN040_015.jpg,PKHL_15 220831_201212_BN040_015.jpg
PKHL_15 220831_201212_BN050_012.jpg,PKHL_15 220831_201212_BN050_012.jpg
PKHL_15 220831_201212_BN043_047.jpg,PKHL_15 220831_201212_BN043_047.jpg
PKHL_15 220831_201219_BN047_044.jpg,PKHL_15 220831_201219_BN047_044.jpg
PKHL_15 220831_201223_BN023_020.jpg,PKHL_15 220831_201223_BN023_020.jpg
PKHL_15 220831_201212_BN050_032.jpg,PKHL_15 220831_201212_BN050_032.jpg
PKHL_15 220831_201212_BN040_052.jpg,PKHL_15 220831_201212_BN040_052.jpg
PKHL_15 220831_201211_BN072_007.jpg,PKHL_15 220831_201211_BN072_007.jpg
PKHL_15 220831_201219_BN032_026.jpg,PKHL_15 220831_201219_BN032_026.jpg
PKHL_15 220831_201212_BN050_013.jpg,PKHL_15 220831_201212_BN050_013.jpg
PKHL_15 220831_201223_BN023_045.jpg,PKHL_15 220831_201223_BN023_045.jpg
PKHL_15 220831_201221_BN055_031.jpg,PKHL_15 220831_201221_BN055_031.jpg
PKHL_15 220831_201219_BN047_056.jpg,PKHL_15 220831_201219_BN047_056.jpg
PKHL_15 220831_201219_BN032_015.jpg,PKHL_15 220831_201219_BN032_015.jpg
PKHL_15 220831_201223_BN033_049.jpg,PKHL_15 220831_201223_BN033_049.jpg
PKHL_15 220831_201222_BN027_039.jpg,PKHL_15 220831_201222_BN027_039.jpg
PKHL_15 220831_201216_BN025_016.jpg,PKHL_15 220831_201216_BN025_016.jpg
PKHL_15 220831_201212_BN029_021.jpg,PKHL_15 220831_201212_BN029_021.jpg
PKHL_15 220831_201214_BN047_023.jpg,PKHL_15 220831_201214_BN047_023.jpg
PKHL_15 220831_201221_BN055_027.jpg,PKHL_15 220831_201221_BN055_027.jpg
PKHL_15 220831_201209_BN036_042.jpg,PKHL_15 220831_201209_BN036_042.jpg
PKHL_15 220831_201217_BN016_014.jpg,PKHL_15 220831_201217_BN016_014.jpg
PKHL_15 220831_201212_BN029_019.jpg,PKHL_15 220831_201212_BN029_019.jpg
PKHL_15 220831_201212_BN027_033.jpg,PKHL_15 220831_201212_BN027_033.jpg
PKHL_15 220831_201212_BN027_041.jpg,PKHL_15 220831_201212_BN027_041.jpg
PKHL_15 220831_201215_BN032_009.jpg,PKHL_15 220831_201215_BN032_009.jpg
PKHL_15 220831_201221_BN038_036.jpg,PKHL_15 220831_201221_BN038_036.jpg
PKHL_15 220831_201212_BN040_016.jpg,PKHL_15 220831_201212_BN040_016.jpg
PKHL_15 220831_201211_BN035_038.jpg,PKHL_15 220831_201211_BN035_038.jpg
PKHL_15 220831_201223_BN010_013.jpg,PKHL_15 220831_201223_BN010_013.jpg
PKHL_15 220831_201222_BN003_042.jpg,PKHL_15 220831_201222_BN003_042.jpg
PKHL_15 220831_201212_BN029_020.jpg,PKHL_15 220831_201212_BN029_020.jpg
PKHL_15 220831_201216_BN025_017.jpg,PKHL_15 220831_201216_BN025_017.jpg
PKHL_15 220831_201222_BN027_037.jpg,PKHL_15 220831_201222_BN027_037.jpg
